PERMNO,SecurityBegDt,SecurityEndDt,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthCompFlg,MthCompSubFlg,MthPrc,MthDelFlg,MthRet,MthRetx,MthRetFlg
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2016-01-29,G,G3,36.310000,N,-0.001852,-0.006022,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2016-02-29,G,G1,36.780000,N,0.012944,0.012944,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2016-03-31,G,G1,40.910000,N,0.112289,0.112289,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2016-04-29,G,G3,39.860000,N,-0.022050,-0.025666,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2016-05-31,G,G1,40.200000,N,0.008530,0.008530,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2016-06-30,G,G1,40.930000,N,0.018159,0.018159,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2016-07-29,G,G3,41.040000,N,0.006368,0.002688,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2016-08-31,G,G1,41.220000,N,0.004386,0.004386,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2016-09-30,G,G1,39.280000,N,-0.047065,-0.047065,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2016-10-31,G,G3,38.420000,N,-0.018104,-0.021894,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2016-11-30,G,G1,40.190000,N,0.046070,0.046070,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2016-12-30,G,G1,38.450000,N,-0.043294,-0.043294,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2017-01-31,G,G3,40.110000,N,0.047232,0.043173,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2017-02-28,G,G1,42.590000,N,0.061830,0.061830,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2017-03-31,G,G1,44.610000,N,0.047429,0.047429,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2017-04-28,G,G3,44.960000,N,0.012198,0.007846,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2017-05-31,G,G1,45.390000,N,0.009564,0.009564,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2017-06-30,G,G1,50.140000,N,0.104649,0.104649,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2017-07-31,G,G3,49.930000,N,-0.000437,-0.004188,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2017-08-31,G,G1,50.330000,N,0.008011,0.008011,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2017-09-29,G,G1,48.350000,N,-0.039340,-0.039340,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2017-10-31,G,G3,50.900000,N,0.056889,0.052740,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2017-11-30,G,G1,49.060000,N,-0.036149,-0.036149,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2017-12-29,G,G1,47.280000,N,-0.036282,-0.036282,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2018-01-31,G,G3,51.590000,N,0.095385,0.091159,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2018-02-28,G,G1,50.670000,N,-0.017833,-0.017833,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2018-03-29,G,G1,45.750000,N,-0.097099,-0.097099,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2018-04-30,G,G3,45.670000,N,0.002370,-0.001749,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2018-05-31,G,G1,46.720000,N,0.022991,0.022991,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2018-06-29,G,G1,44.060000,N,-0.056935,-0.056935,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2018-07-31,G,G3,47.680000,N,0.086404,0.082161,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2018-08-31,G,G1,48.580000,N,0.018876,0.018876,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2018-09-28,G,G1,51.560000,N,0.061342,0.061342,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2018-10-31,G,G3,48.840000,N,-0.048935,-0.052754,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2018-11-30,G,G1,48.760000,N,-0.001638,-0.001638,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2018-12-31,G,G1,45.150000,N,-0.074036,-0.074036,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2019-01-31,G,G3,50.230000,N,0.116883,0.112514,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2019-02-28,G,G1,52.130000,N,0.037826,0.037826,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2019-03-29,G,G1,53.710000,N,0.030309,0.030309,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2019-04-30,G,G3,55.330000,N,0.034743,0.030162,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2019-05-31,G,G1,50.600000,N,-0.085487,-0.085487,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2019-06-28,G,G1,56.970000,N,0.125889,0.125889,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2019-07-31,G,G3,56.300000,N,-0.007714,-0.011761,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2019-08-30,G,G1,52.060000,N,-0.075311,-0.075311,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2019-09-30,G,G1,55.030000,N,0.057050,0.057050,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2019-10-31,G,G3,54.490000,N,-0.005455,-0.009813,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2019-11-29,G,G1,56.140000,N,0.030281,0.030281,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2019-12-31,G,G1,52.980000,N,-0.056288,-0.056288,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2020-01-31,G,G3,52.450000,N,-0.005614,-0.010004,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2020-02-28,G,G1,49.460000,N,-0.057007,-0.057007,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2020-03-31,G,G1,48.330000,N,-0.022847,-0.022847,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2020-04-30,G,G3,52.970000,N,0.101052,0.096007,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2020-05-29,G,G1,53.770000,N,0.015103,0.015103,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2020-06-30,G,G1,55.270000,N,0.027897,0.027897,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2020-07-31,G,G3,55.450000,N,0.007466,0.003257,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2020-08-31,G,G1,57.220000,N,0.031921,0.031921,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2020-09-30,G,G1,59.700000,N,0.043341,0.043341,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2020-10-30,G,G3,56.110000,N,-0.056411,-0.060134,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2020-11-30,G,G1,57.720000,N,0.028694,0.028694,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2020-12-31,G,G1,64.690000,N,0.120755,0.120755,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2021-01-29,G,G3,60.430000,N,-0.062269,-0.065853,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2021-02-26,G,G1,64.510000,N,0.067516,0.067516,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2021-03-31,G,G1,70.170000,N,0.087738,0.087738,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2021-04-30,G,G3,75.790000,N,0.084757,0.080091,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2021-05-28,G,G1,78.740000,N,0.038923,0.038923,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2021-06-30,G,G1,77.840000,N,-0.011430,-0.011430,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2021-07-30,G,G3,87.140000,N,0.123534,0.119476,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2021-08-31,G,G1,89.130000,N,0.022837,0.022837,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2021-09-30,G,G1,87.130000,N,-0.022439,-0.022439,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2021-10-29,G,G3,95.940000,N,0.104846,0.101113,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2021-11-30,G,G1,90.740000,N,-0.054201,-0.054201,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2021-12-31,G,G1,87.210000,N,-0.038902,-0.038902,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2022-01-31,G,G3,81.160000,N,-0.065924,-0.069373,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2022-02-28,G,G1,75.970000,N,-0.063948,-0.063948,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2022-03-31,G,G1,82.730000,N,0.088982,0.088982,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2022-04-29,G,G3,73.400000,N,-0.109295,-0.112777,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2022-05-31,G,G1,71.920000,N,-0.020163,-0.020163,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2022-06-30,G,G1,69.870000,N,-0.028504,-0.028504,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2022-07-29,G,G3,77.840000,N,0.119050,0.114069,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2022-08-31,G,G1,74.150000,N,-0.047405,-0.047405,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2022-09-30,G,G1,61.070000,N,-0.176399,-0.176399,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2022-10-31,G,G3,78.070000,N,0.284924,0.278369,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2022-11-30,G,G1,83.030000,N,0.063533,0.063533,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2022-12-30,G,G1,81.740000,N,-0.015537,-0.015537,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2023-01-31,G,G3,88.460000,N,0.086219,0.082212,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2023-02-28,G,G1,87.400000,N,-0.011983,-0.011983,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2023-03-31,G,G1,92.920000,N,0.063158,0.063158,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2023-04-28,G,G3,94.720000,N,0.023720,0.019372,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2023-05-31,G,G1,105.940000,N,0.118454,0.118454,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2023-06-30,G,G1,119.090000,N,0.124127,0.124127,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2023-07-31,G,G3,117.230000,N,-0.012191,-0.015618,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2023-08-31,G,G1,120.390000,N,0.026956,0.026956,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2023-09-29,G,G1,105.920000,N,-0.120193,-0.120193,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2023-10-31,G,G3,103.400000,N,-0.020230,-0.023792,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2023-11-30,G,G1,116.210000,N,0.123888,0.123888,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2023-12-29,G,G1,105.430000,N,-0.092763,-0.092763,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2024-01-31,G,G3,111.700000,N,0.063549,0.059471,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2024-02-29,G,G1,111.680000,N,-0.000179,-0.000179,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2024-03-28,G,G1,125.610000,N,0.124731,0.124731,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2024-04-30,G,G3,113.750000,N,-0.091480,-0.094419,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2024-05-31,G,G1,117.190000,N,0.030242,0.030242,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2024-06-28,G,G1,141.200000,N,0.204881,0.204881,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2024-07-31,G,G3,139.450000,N,-0.009627,-0.012394,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2024-08-30,G,G1,141.290000,N,0.013195,0.013195,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2024-09-30,G,G1,170.400000,N,0.206030,0.206030,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2024-10-31,G,G3,167.840000,N,-0.012777,-0.015023,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2024-11-29,G,G1,184.840000,N,0.101287,0.101287,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2024-12-31,G,G1,166.640000,N,-0.098464,-0.098464,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2025-01-31,G,G3,170.060000,N,0.023165,0.020523,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2025-02-28,G,G1,166.060000,N,-0.023521,-0.023521,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2025-03-31,G,G1,139.810000,N,-0.158075,-0.158075,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2025-04-30,G,G3,140.720000,N,0.010283,0.006509,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2025-05-30,G,G1,165.530000,N,0.176308,0.176308,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2025-06-30,G,G1,218.630000,N,0.320788,0.320788,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2025-07-31,G,G3,253.770000,N,0.163198,0.160728,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2025-08-29,G,G1,226.130000,N,-0.108918,-0.108918,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2025-09-30,G,G1,281.240000,N,0.243709,0.243709,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2025-10-31,G,G3,262.610000,N,-0.064670,-0.066242,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2025-11-28,G,G1,201.950000,N,-0.230989,-0.230989,CR
10104,1986-03-12,2025-12-31,68389X10,ORCL,8045,2025-12-31,G,G1,194.910000,N,-0.034860,-0.034860,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2016-01-29,G,G1,55.090000,N,-0.007030,-0.007030,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2016-02-29,G,G3,50.880000,N,-0.069913,-0.076420,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2016-03-31,G,G1,55.230000,N,0.085495,0.085495,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2016-04-29,G,G1,49.870000,N,-0.097049,-0.097049,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2016-05-31,G,G3,53.000000,N,0.070338,0.062763,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2016-06-30,G,G1,51.170000,N,-0.034528,-0.034528,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2016-07-29,G,G1,56.680000,N,0.107680,0.107680,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2016-08-31,G,G3,57.460000,N,0.020115,0.013761,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2016-09-30,G,G1,57.600000,N,0.002436,0.002436,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2016-10-31,G,G1,59.920000,N,0.040278,0.040278,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2016-11-30,G,G3,60.260000,N,0.012337,0.005674,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2016-12-30,G,G1,62.140000,N,0.031198,0.031198,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2017-01-31,G,G1,64.650000,N,0.040393,0.040393,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2017-02-28,G,G3,63.980000,N,-0.004386,-0.010363,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2017-03-31,G,G1,65.860000,N,0.029384,0.029384,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2017-04-28,G,G1,68.460000,N,0.039478,0.039478,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2017-05-31,G,G3,69.840000,N,0.025890,0.020158,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2017-06-30,G,G1,68.930000,N,-0.013030,-0.013030,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2017-07-31,G,G1,72.700000,N,0.054693,0.054693,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2017-08-31,G,G3,74.770000,N,0.033951,0.028473,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2017-09-29,G,G1,74.490000,N,-0.003745,-0.003745,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2017-10-31,G,G1,83.180000,N,0.116660,0.116660,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2017-11-30,G,G3,84.170000,N,0.017024,0.011902,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2017-12-29,G,G1,85.540000,N,0.016277,0.016277,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2018-01-31,G,G1,95.010000,N,0.110708,0.110708,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2018-02-28,G,G3,93.770000,N,-0.008487,-0.013051,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2018-03-29,G,G1,91.270000,N,-0.026661,-0.026661,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2018-04-30,G,G1,93.520000,N,0.024652,0.024652,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2018-05-31,G,G3,98.840000,N,0.061455,0.056886,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2018-06-29,G,G1,98.610000,N,-0.002327,-0.002327,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2018-07-31,G,G1,106.080000,N,0.075753,0.075753,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2018-08-31,G,G3,112.330000,N,0.063049,0.058918,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2018-09-28,G,G1,114.370000,N,0.018161,0.018161,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2018-10-31,G,G1,106.810000,N,-0.066101,-0.066101,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2018-11-30,G,G3,110.890000,N,0.042748,0.038199,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2018-12-31,G,G1,101.570000,N,-0.084047,-0.084047,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2019-01-31,G,G1,104.430000,N,0.028158,0.028158,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2019-02-28,G,G3,112.030000,N,0.077382,0.072776,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2019-03-29,G,G1,117.940000,N,0.052754,0.052754,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2019-04-30,G,G1,130.600000,N,0.107343,0.107343,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2019-05-31,G,G3,123.680000,N,-0.049529,-0.052986,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2019-06-28,G,G1,133.960000,N,0.083118,0.083118,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2019-07-31,G,G1,136.270000,N,0.017244,0.017244,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2019-08-30,G,G3,137.860000,N,0.015141,0.011668,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2019-09-30,G,G1,139.030000,N,0.008487,0.008487,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2019-10-31,G,G1,143.370000,N,0.031216,0.031216,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2019-11-29,G,G3,151.380000,N,0.059469,0.055869,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2019-12-31,G,G1,157.700000,N,0.041749,0.041749,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2020-01-31,G,G1,170.230000,N,0.079455,0.079455,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2020-02-28,G,G3,162.010000,N,-0.045696,-0.048288,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2020-03-31,G,G1,157.710000,N,-0.026542,-0.026542,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2020-04-30,G,G1,179.210000,N,0.136326,0.136326,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2020-05-29,G,G3,183.250000,N,0.025352,0.022543,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2020-06-30,G,G1,203.510000,N,0.110559,0.110559,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2020-07-31,G,G1,205.010000,N,0.007371,0.007371,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2020-08-31,G,G3,225.530000,N,0.102768,0.100093,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2020-09-30,G,G1,210.330000,N,-0.067397,-0.067397,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2020-10-30,G,G1,202.470000,N,-0.037370,-0.037370,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2020-11-30,G,G3,214.070000,N,0.060097,0.057292,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2020-12-31,G,G1,222.420000,N,0.039006,0.039006,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2021-01-29,G,G1,231.960000,N,0.042892,0.042892,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2021-02-26,G,G3,232.380000,N,0.004108,0.001811,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2021-03-31,G,G1,235.770000,N,0.014588,0.014588,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2021-04-30,G,G1,252.180000,N,0.069602,0.069602,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2021-05-28,G,G3,249.680000,N,-0.007633,-0.009914,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2021-06-30,G,G1,270.900000,N,0.084989,0.084989,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2021-07-30,G,G1,284.910000,N,0.051717,0.051717,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2021-08-31,G,G3,301.880000,N,0.061604,0.059563,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2021-09-30,G,G1,281.920000,N,-0.066119,-0.066119,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2021-10-29,G,G1,331.620000,N,0.176291,0.176291,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2021-11-30,G,G3,330.590000,N,-0.001283,-0.003106,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2021-12-31,G,G1,336.320000,N,0.017333,0.017333,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2022-01-31,G,G1,310.980000,N,-0.075345,-0.075345,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2022-02-28,G,G3,298.790000,N,-0.037210,-0.039199,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2022-03-31,G,G1,308.310000,N,0.031862,0.031862,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2022-04-29,G,G1,277.520000,N,-0.099867,-0.099867,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2022-05-31,G,G3,271.870000,N,-0.017968,-0.020359,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2022-06-30,G,G1,256.830000,N,-0.055321,-0.055321,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2022-07-29,G,G1,280.740000,N,0.093097,0.093097,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2022-08-31,G,G3,261.470000,N,-0.066658,-0.068640,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2022-09-30,G,G1,232.900000,N,-0.109267,-0.109267,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2022-10-31,G,G1,232.130000,N,-0.003306,-0.003306,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2022-11-30,G,G3,255.140000,N,0.102217,0.099125,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2022-12-30,G,G1,239.820000,N,-0.060045,-0.060045,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2023-01-31,G,G1,247.810000,N,0.033317,0.033317,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2023-02-28,G,G3,249.420000,N,0.009038,0.006497,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2023-03-31,G,G1,288.300000,N,0.155882,0.155882,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2023-04-28,G,G1,307.260000,N,0.065765,0.065765,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2023-05-31,G,G3,328.390000,N,0.071084,0.068769,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2023-06-30,G,G1,340.540000,N,0.036999,0.036999,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2023-07-31,G,G1,335.920000,N,-0.013567,-0.013567,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2023-08-31,G,G3,327.760000,N,-0.022221,-0.024291,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2023-09-29,G,G1,315.750000,N,-0.036643,-0.036643,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2023-10-31,G,G1,338.110000,N,0.070816,0.070816,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2023-11-30,G,G3,378.910000,N,0.122944,0.120671,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2023-12-29,G,G1,376.040000,N,-0.007574,-0.007574,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2024-01-31,G,G1,397.580000,N,0.057281,0.057281,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2024-02-29,G,G3,413.640000,N,0.042300,0.040394,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2024-03-28,G,G1,420.720000,N,0.017116,0.017116,CR
10107,1986-03-13,2025-12-31,59491810,MSFT,8048,2024-04-30,G,G1,389.330000,N,-0.074610,-0.074610,CR
