delactiontype,permno,delistingdt,primaryexch,nasdissuno,siccd,deldtprc,deldtprcflg,delstatustype,delreasontype,delpaymenttype,delpermno,delpermco,delret,delretmisstype,delnextdt,delnextprc,delnextprcflg,delamtdt,deldivamt,deldistype,deldlydt
MER,11703,2017-08-31,N,0,2879,83.930000,TR,FPAY,UNAV,STK,16851,56027,0.026150,NA,,,DA,2017-09-01,86.124760,D1,2017-09-01
MER,12093,2021-12-27,N,0,7375,169.410000,TR,FPAY,UNAV,CASH,0,34770,0.003483,NA,,,DA,2021-12-28,170.000000,D1,2021-12-28
MER,14036,2024-02-29,N,0,6798,11.230000,TR,FPAY,UNAV,STK,67598,20891,0.026305,NA,,,DA,2024-03-01,11.525400,D1,2024-03-01
GEX,14752,2021-01-08,N,0,6733,801.000000,TR,FPAY,UNAV,STK,20391,57695,0.085518,NA,,,DA,2021-01-11,869.500000,D1,2021-01-11
GDR,15486,2023-03-22,Q,76228,2834,0.415000,TR,VCL,FING,PRCF,0,0,-0.031325,NA,2023-03-23,0.402000,DP,2023-03-23,0.000000,NO,2023-03-23
MER,20626,2017-08-31,N,0,2821,66.650000,TR,FPAY,UNAV,STK,16851,56027,0.007952,NA,,,DA,2017-09-01,67.180000,D1,2017-09-01
MER,42534,2016-09-02,N,0,2531,45.450000,TR,FPAY,UNAV,CST,45356,21791,0.025193,NA,,,DA,2016-09-06,46.595030,D2,2016-09-06
GEX,64899,2022-11-10,N,15595,2084,310.000000,TR,FPAY,UNAV,CST,69796,1015,0.005290,NA,,,DA,2022-11-11,311.640000,D2,2022-11-11
GEX,75650,2023-09-22,N,13757,3241,54.580000,TR,FPAY,UNAV,STK,24284,-5,0.032430,NA,,,DA,2023-09-25,56.350000,D1,2023-09-25
MER,90441,2019-03-19,Q,26310,2711,49.690000,TR,FPAY,UNAV,CST,26403,20587,0.037220,NA,,,DA,2019-03-20,51.539451,D2,2019-03-20
MER,90442,2019-03-19,Q,26309,2711,49.610000,TR,FPAY,UNAV,CST,26403,20587,0.038892,NA,,,DA,2019-03-20,51.539451,D2,2019-03-20
GDR,92020,2021-03-25,N,0,8051,0.420400,TR,VCL,CORQ,PRCF,0,0,-0.055661,NA,2021-03-26,0.397000,DP,2021-03-26,0.000000,NO,2021-03-26
