PERMNO,MthCalDt,MthRet,MthPrc,Ticker,month,eligible_6m
10104,2016-01-29,-0.001852,36.31,ORCL,2016-01,False
10104,2016-02-29,0.012944,36.78,ORCL,2016-02,False
10104,2016-03-31,0.112289,40.91,ORCL,2016-03,False
10104,2016-04-29,-0.02205,39.86,ORCL,2016-04,False
10104,2016-05-31,0.00853,40.2,ORCL,2016-05,False
10104,2016-06-30,0.018159,40.93,ORCL,2016-06,True
10104,2016-07-29,0.006368,41.04,ORCL,2016-07,True
10104,2016-08-31,0.004386,41.22,ORCL,2016-08,True
10104,2016-09-30,-0.047065,39.28,ORCL,2016-09,True
10104,2016-10-31,-0.018104,38.42,ORCL,2016-10,True
10104,2016-11-30,0.04607,40.19,ORCL,2016-11,True
10104,2016-12-30,-0.043294,38.45,ORCL,2016-12,True
10104,2017-01-31,0.047232,40.11,ORCL,2017-01,True
10104,2017-02-28,0.06183,42.59,ORCL,2017-02,True
10104,2017-03-31,0.047429,44.61,ORCL,2017-03,True
10104,2017-04-28,0.012198,44.96,ORCL,2017-04,True
10104,2017-05-31,0.009564,45.39,ORCL,2017-05,True
10104,2017-06-30,0.104649,50.14,ORCL,2017-06,True
10104,2017-07-31,-0.000437,49.93,ORCL,2017-07,True
10104,2017-08-31,0.008011,50.33,ORCL,2017-08,True
10104,2017-09-29,-0.03934,48.35,ORCL,2017-09,True
10104,2017-10-31,0.056889,50.9,ORCL,2017-10,True
10104,2017-11-30,-0.036149,49.06,ORCL,2017-11,True
10104,2017-12-29,-0.036282,47.28,ORCL,2017-12,True
10104,2018-01-31,0.095385,51.59,ORCL,2018-01,True
10104,2018-02-28,-0.017833,50.67,ORCL,2018-02,True
10104,2018-03-29,-0.097099,45.75,ORCL,2018-03,True
10104,2018-04-30,0.00237,45.67,ORCL,2018-04,True
10104,2018-05-31,0.022991,46.72,ORCL,2018-05,True
10104,2018-06-29,-0.056935,44.06,ORCL,2018-06,True
10104,2018-07-31,0.086404,47.68,ORCL,2018-07,True
10104,2018-08-31,0.018876,48.58,ORCL,2018-08,True
10104,2018-09-28,0.061342,51.56,ORCL,2018-09,True
10104,2018-10-31,-0.048935,48.84,ORCL,2018-10,True
10104,2018-11-30,-0.001638,48.76,ORCL,2018-11,True
10104,2018-12-31,-0.074036,45.15,ORCL,2018-12,True
10104,2019-01-31,0.116883,50.23,ORCL,2019-01,True
10104,2019-02-28,0.037826,52.13,ORCL,2019-02,True
10104,2019-03-29,0.030309,53.71,ORCL,2019-03,True
10104,2019-04-30,0.034743,55.33,ORCL,2019-04,True
10104,2019-05-31,-0.085487,50.6,ORCL,2019-05,True
10104,2019-06-28,0.125889,56.97,ORCL,2019-06,True
10104,2019-07-31,-0.007714,56.3,ORCL,2019-07,True
10104,2019-08-30,-0.075311,52.06,ORCL,2019-08,True
10104,2019-09-30,0.05705,55.03,ORCL,2019-09,True
10104,2019-10-31,-0.005455,54.49,ORCL,2019-10,True
10104,2019-11-29,0.030281,56.14,ORCL,2019-11,True
10104,2019-12-31,-0.056288,52.98,ORCL,2019-12,True
10104,2020-01-31,-0.005614,52.45,ORCL,2020-01,True
10104,2020-02-28,-0.057007,49.46,ORCL,2020-02,True
10104,2020-03-31,-0.022847,48.33,ORCL,2020-03,True
10104,2020-04-30,0.101052,52.97,ORCL,2020-04,True
10104,2020-05-29,0.015103,53.77,ORCL,2020-05,True
10104,2020-06-30,0.027897,55.27,ORCL,2020-06,True
10104,2020-07-31,0.007466,55.45,ORCL,2020-07,True
10104,2020-08-31,0.031921,57.22,ORCL,2020-08,True
10104,2020-09-30,0.043341,59.7,ORCL,2020-09,True
10104,2020-10-30,-0.056411,56.11,ORCL,2020-10,True
10104,2020-11-30,0.028694,57.72,ORCL,2020-11,True
10104,2020-12-31,0.120755,64.69,ORCL,2020-12,True
10104,2021-01-29,-0.062269,60.43,ORCL,2021-01,True
10104,2021-02-26,0.067516,64.51,ORCL,2021-02,True
10104,2021-03-31,0.087738,70.17,ORCL,2021-03,True
10104,2021-04-30,0.084757,75.79,ORCL,2021-04,True
10104,2021-05-28,0.038923,78.74,ORCL,2021-05,True
10104,2021-06-30,-0.01143,77.84,ORCL,2021-06,True
10104,2021-07-30,0.123534,87.14,ORCL,2021-07,True
10104,2021-08-31,0.022837,89.13,ORCL,2021-08,True
10104,2021-09-30,-0.022439,87.13,ORCL,2021-09,True
10104,2021-10-29,0.104846,95.94,ORCL,2021-10,True
10104,2021-11-30,-0.054201,90.74,ORCL,2021-11,True
10104,2021-12-31,-0.038902,87.21,ORCL,2021-12,True
10104,2022-01-31,-0.065924,81.16,ORCL,2022-01,True
10104,2022-02-28,-0.063948,75.97,ORCL,2022-02,True
10104,2022-03-31,0.088982,82.73,ORCL,2022-03,True
