symbol,closingbestbiddate,secid,compid,cusip,issue,venue,sectype,class,caveatemptor,tiername,dad_pal,closinginsidebidprice,closinginsidebidpricedate,closinginsideaskprice,closinginsideaskpricedate,insidebid_askmidprice,openprice,highprice,lowprice,lastprice,previouscloseprice,previousclosedate,sharevolume,dollarvol,tradecount,otclinkdolvol,otclinksharevol,otclinkexeccount,shoflag,rule3210flag,shortintvol,shortinterestdate,mmidcount,bfcmmid,tierid,closingbestbid,bestbidsource,closingbestask,closingbestaskdate,bestasksource,securitystatus,sharesoutstanding,sharesoutstandingasofdate
SMCI,2018-08-23,118059,667688,86800U104,SUPER MICRO COMPUTER INC,OTC Link,Common Stock,,N,Pink No Information,,17.24,2018-08-23,17.25,2018-08-23,17.245,15.25,17.29,15.05,17.24,,1969-12-31,7302516,122309724.62957694,2792,25707678.87,1533027,1249,,,956847,2010-11-30,18,17,22,17.24,OTC Link,17.25,2018-08-23,OTC Link,Active,48692992,2017-04-30
SMCI,2018-08-24,118059,667688,86800U104,SUPER MICRO COMPUTER INC,OTC Link,Common Stock,,N,Pink No Information,,16.37,2018-08-24,16.36,2018-08-24,16.365,17.25,17.71,15.9,16.38,17.24,2018-08-22,14657782,240438887.89858007,5925,62236289.66,3784943,3815,,,956847,2010-11-30,20,18,22,16.37,OTC Link,16.36,2018-08-24,OTC Link,Active,48692992,2017-04-30
SMCI,2018-08-27,118059,667688,86800U104,SUPER MICRO COMPUTER INC,OTC Link,Common Stock,,N,Pink No Information,,17.24,2018-08-27,17.25,2018-08-27,17.245,16.5,17.35,16.5,17.25,16.38,2018-08-23,3429763,58828376.67850001,2147,15490986.34,904182,1237,,,956847,2010-11-30,20,19,22,17.24,OTC Link,17.25,2018-08-27,OTC Link,Active,48692992,2017-04-30
SMCI,2018-08-28,118059,667688,86800U104,SUPER MICRO COMPUTER INC,OTC Link,Common Stock,,N,Pink No Information,,19.48,2018-08-28,19.49,2018-08-28,19.485,17.26,19.5,17.24,19.48,17.25,2018-08-26,2053064,37511686.475000024,2167,12584068.32,687157,1513,,,956847,2010-11-30,20,19,22,19.48,OTC Link,19.49,2018-08-28,OTC Link,Active,48692992,2017-04-30
SMCI,2018-08-29,118059,667688,86800U104,SUPER MICRO COMPUTER INC,OTC Link,Common Stock,,N,Pink No Information,,20.14,2018-08-29,20.16,2018-08-29,20.15,19.42,20.25,19.01,20.15,19.48,2018-08-27,1623221,32317307.554110005,1598,9723223.69,490898,994,,,956847,2010-11-30,22,20,22,20.14,OTC Link,20.16,2018-08-29,OTC Link,Active,48692992,2017-04-30
SMCI,2018-08-30,118059,667688,86800U104,SUPER MICRO COMPUTER INC,OTC Link,Common Stock,,N,Pink No Information,,20.65,2018-08-30,20.67,2018-08-30,20.66,20.4,20.85,20.25,20.65,20.15,2018-08-28,1152534,23716741.91,782,3479865.89,169123,379,,,956847,2010-11-30,21,21,22,20.65,OTC Link,20.67,2018-08-30,OTC Link,Active,48692992,2017-04-30
SMCI,2018-08-31,118059,667688,86800U104,SUPER MICRO COMPUTER INC,OTC Link,Common Stock,,N,Pink No Information,,20.5,2018-08-31,20.51,2018-08-31,20.505,20.89,20.89,20.3,20.51,20.65,2018-08-29,613107,12543113.18,759,4137134.69,202201,393,,,956847,2010-11-30,20,20,22,20.5,OTC Link,20.51,2018-08-31,OTC Link,Active,48692992,2017-04-30
SMCI,2018-09-04,118059,667688,86800U104,SUPER MICRO COMPUTER INC,OTC Link,Common Stock,,N,Pink No Information,,20.45,2018-09-04,20.46,2018-09-04,20.455,20.3,20.6,19.8,20.45,20.51,2018-08-30,317135,6485841.979999998,549,2365218.03,115567,262,,,956847,2010-11-30,18,17,22,20.45,OTC Link,20.46,2018-09-04,OTC Link,Active,48692992,2017-04-30
SMCI,2018-09-05,118059,667688,86800U104,SUPER MICRO COMPUTER INC,OTC Link,Common Stock,,N,Pink No Information,,19.72,2018-09-05,19.74,2018-09-05,19.73,20.45,20.46,19.12,19.75,20.45,2018-09-03,298602,5928817.275,476,1724251.54,87122,208,,,956847,2010-11-30,19,17,22,19.72,OTC Link,19.74,2018-09-05,OTC Link,Active,48692992,2017-04-30
SMCI,2018-09-06,118059,667688,86800U104,SUPER MICRO COMPUTER INC,OTC Link,Common Stock,,N,Pink No Information,,20,2018-09-06,20.09,2018-09-06,20.045,19.96,20.24,19.7,20,19.75,2018-09-04,546299,10895584.378300002,439,2492893.08,125026,202,,,956847,2010-11-30,20,18,22,20,OTC Link,20.09,2018-09-06,OTC Link,Active,48692992,2017-04-30
SMCI,2018-09-07,118059,667688,86800U104,SUPER MICRO COMPUTER INC,OTC Link,Common Stock,,N,Pink No Information,,20.23,2018-09-07,20.24,2018-09-07,20.235,20.14,20.33,19.98,20.24,20,2018-09-05,794761,16016819.62000001,675,4333450.45,214778,368,,,956847,2010-11-30,20,18,22,20.23,OTC Link,20.24,2018-09-07,OTC Link,Active,48692992,2017-04-30
SMCI,2018-09-10,118059,667688,86800U104,SUPER MICRO COMPUTER INC,OTC Link,Common Stock,,N,Pink No Information,,20,2018-09-10,20.09,2018-09-10,20.045,20.3,20.3,19.95,20.025,20.24,2018-09-06,1019844,20465939.439999998,436,3804445.28,190128,235,,,956847,2010-11-30,21,19,22,20,OTC Link,20.09,2018-09-10,OTC Link,Active,48692992,2017-04-30
