delactiontype,PERMNO,delistingdt,primaryexch,nasdissuno,siccd,deldtprc,deldtprcflg,delstatustype,delreasontype,delpaymenttype,delpermno,delpermco,delret,delretmisstype,delnextdt,delnextprc,delnextprcflg,delamtdt,deldivamt,deldistype,deldlydt,SecurityEndDt,MthCalDt,MthRet,MthDelFlg,exit_value,exit_month,value_in_later_month,policy
MER,11703,2017-08-31,N,0,2879,83.93,TR,FPAY,UNAV,STK,16851,56027,0.02615,NA,,,DA,2017-09-01,86.12476,D1,2017-09-01,2017-08-31,2017-08-31,0.047619,A,86.12476,2017-08-01,True,CRSP monthly exit value to 0% cash/receivable; no reinvestment
MER,12093,2021-12-27,N,0,7375,169.41,TR,FPAY,UNAV,CASH,0,34770,0.003483,NA,,,DA,2021-12-28,170.0,D1,2021-12-28,2021-12-27,2021-12-31,0.001293,A,170.0,2021-12-01,False,CRSP monthly exit value to 0% cash/receivable; no reinvestment
MER,14036,2024-02-29,N,0,6798,11.23,TR,FPAY,UNAV,STK,67598,20891,0.026305,NA,,,DA,2024-03-01,11.5254,D1,2024-03-01,2024-02-29,2024-02-29,-0.058382,A,11.5254,2024-02-01,True,CRSP monthly exit value to 0% cash/receivable; no reinvestment
GEX,14752,2021-01-08,N,0,6733,801.0,TR,FPAY,UNAV,STK,20391,57695,0.085518,NA,,,DA,2021-01-11,869.5,D1,2021-01-11,2021-01-08,2021-01-29,0.196011,A,869.5,2021-01-01,False,CRSP monthly exit value to 0% cash/receivable; no reinvestment
GDR,15486,2023-03-22,Q,76228,2834,0.415,TR,VCL,FING,PRCF,0,0,-0.031325,NA,2023-03-23,0.402,DP,2023-03-23,0.0,NO,2023-03-23,2023-03-22,2023-03-31,-0.02166,P,0.402,2023-03-01,False,CRSP monthly exit value to 0% cash/receivable; no reinvestment
MER,20626,2017-08-31,N,0,2821,66.65,TR,FPAY,UNAV,STK,16851,56027,0.007952,NA,,,DA,2017-09-01,67.18,D1,2017-09-01,2017-08-31,2017-08-31,0.045766,A,67.18,2017-08-01,True,CRSP monthly exit value to 0% cash/receivable; no reinvestment
MER,42534,2016-09-02,N,0,2531,45.45,TR,FPAY,UNAV,CST,45356,21791,0.025193,NA,,,DA,2016-09-06,46.59503,D2,2016-09-06,2016-09-02,2016-09-30,0.061874,A,46.59503,2016-09-01,False,CRSP monthly exit value to 0% cash/receivable; no reinvestment
GEX,64899,2022-11-10,N,15595,2084,310.0,TR,FPAY,UNAV,CST,69796,1015,0.00529,NA,,,DA,2022-11-11,311.64,D2,2022-11-11,2022-11-10,2022-11-30,0.047189,A,311.64,2022-11-01,False,CRSP monthly exit value to 0% cash/receivable; no reinvestment
GEX,75650,2023-09-22,N,13757,3241,54.58,TR,FPAY,UNAV,STK,24284,-5,0.03243,NA,,,DA,2023-09-25,56.35,D1,2023-09-25,2023-09-22,2023-09-29,-0.021192,A,56.35,2023-09-01,False,CRSP monthly exit value to 0% cash/receivable; no reinvestment
MER,90441,2019-03-19,Q,26310,2711,49.69,TR,FPAY,UNAV,CST,26403,20587,0.03722,NA,,,DA,2019-03-20,51.539451,D2,2019-03-20,2019-03-19,2019-03-29,0.022,A,51.539451,2019-03-01,False,CRSP monthly exit value to 0% cash/receivable; no reinvestment
MER,90442,2019-03-19,Q,26309,2711,49.61,TR,FPAY,UNAV,CST,26403,20587,0.038892,NA,,,DA,2019-03-20,51.539451,D2,2019-03-20,2019-03-19,2019-03-29,0.027501,A,51.539451,2019-03-01,False,CRSP monthly exit value to 0% cash/receivable; no reinvestment
GDR,92020,2021-03-25,N,0,8051,0.4204,TR,VCL,CORQ,PRCF,0,0,-0.055661,NA,2021-03-26,0.397,DP,2021-03-26,0.0,NO,2021-03-26,2021-03-25,2021-03-31,-0.499306,P,0.397,2021-03-01,False,CRSP monthly exit value to 0% cash/receivable; no reinvestment
