entry_month,formation_month,PERMNO,Ticker,formation_ret,decile
2021-01-01,2020-12-01,87447,UPS,0.5337166438111953,10.0
2021-01-01,2020-12-01,19350,DE,0.7228735633169765,10.0
2021-01-01,2020-12-01,88661,TPR,1.3403626486881342,10.0
2021-01-01,2020-12-01,75912,PTC,0.537599785349846,10.0
2021-01-01,2020-12-01,11891,MGM,0.8759527728902003,10.0
2021-01-01,2020-12-01,18576,UBER,0.6409243206772337,10.0
2021-01-01,2020-12-01,19285,CARR,0.7069262534066112,10.0
2021-01-01,2020-12-01,19583,IVZ,0.6608849842396358,10.0
2021-01-01,2020-12-01,81655,DRI,0.5766884958517793,10.0
2021-01-01,2020-12-01,75186,SCHW,0.5869217893566083,10.0
2021-01-01,2020-12-01,13760,NCLH,0.5477782912003508,10.0
2021-01-01,2020-12-01,61241,AMD,0.7432039920669984,10.0
2021-01-01,2020-12-01,81774,FCX,1.248919027228511,10.0
2021-01-01,2020-12-01,26403,DIS,0.6247859507528406,10.0
2021-01-01,2020-12-01,77178,QCOM,0.6863001109305089,10.0
2021-01-01,2020-12-01,13103,APTV,0.6720986875792836,10.0
2021-01-01,2020-12-01,16655,CVNA,0.9928439127799553,10.0
2021-01-01,2020-12-01,13035,XYL,0.5767229017886726,10.0
2021-01-01,2020-12-01,12369,GM,0.6458500093659771,10.0
2021-01-01,2020-12-01,24643,HWM,0.8006324787661023,10.0
2021-01-01,2020-12-01,18726,CRWD,1.1120749724950452,10.0
2021-01-01,2020-12-01,18224,CTRA,2.7401323270614317,10.0
2021-01-01,2020-12-01,85663,URI,0.5560244602613371,10.0
2021-01-01,2020-12-01,85792,PWR,0.8391060631206726,10.0
2021-01-01,2020-12-01,85913,MAR,0.538784705140944,10.0
2021-01-01,2020-12-01,90720,BLDR,0.9714961217340146,10.0
2021-01-01,2020-12-01,12622,HCA,0.6944169410003189,10.0
2021-01-01,2020-12-01,93436,TSLA,2.267566432796865,10.0
2021-01-01,2020-12-01,91041,LYV,0.657568643377535,10.0
2021-01-01,2020-12-01,76230,TRMB,0.5459612824363302,10.0
2021-01-01,2020-12-01,90808,EXPE,0.6107057079102254,10.0
2021-01-01,2020-12-01,89138,BG,0.6253876307530173,10.0
2021-01-01,2020-12-01,90455,MPWR,0.5502137621097023,10.0
2021-01-01,2020-12-01,18312,MRNA,0.6270080754994378,10.0
2021-01-01,2020-12-01,14776,SYF,0.5958176894410308,10.0
2021-01-01,2020-12-01,80191,ALB,0.9231782338140744,10.0
2021-01-01,2020-12-01,13511,PANW,0.5473947260739203,10.0
2021-01-01,2020-12-01,88182,ON,0.6513622590323236,10.0
2021-01-01,2020-12-01,60628,FDX,0.8611340210506684,10.0
